 
6 LOW SONAR CONFIDENCE 
4330 CAN'T REACH TARGET HEADING 
4335 CAN'T REACH TARGET HEADING 
4340 CAN'T REACH TARGET HEADING 
4345 CAN'T REACH TARGET HEADING 
4350 CAN'T REACH TARGET HEADING 
4356 CAN'T REACH TARGET HEADING 
4361 CAN'T REACH TARGET HEADING 
4366 CAN'T REACH TARGET HEADING 
4371 CAN'T REACH TARGET HEADING 
4376 CAN'T REACH TARGET HEADING 
4381 CAN'T REACH TARGET HEADING 
4386 CAN'T REACH TARGET HEADING 
4391 CAN'T REACH TARGET HEADING 
4396 CAN'T REACH TARGET HEADING 
4401 CAN'T REACH TARGET HEADING 
4406 CAN'T REACH TARGET HEADING 
4411 CAN'T REACH TARGET HEADING 
4416 CAN'T REACH TARGET HEADING 
4421 CAN'T REACH TARGET HEADING 
4426 CAN'T REACH TARGET HEADING 
4432 CAN'T REACH TARGET HEADING 
4437 CAN'T REACH TARGET HEADING 
4442 CAN'T REACH TARGET HEADING 
4447 CAN'T REACH TARGET HEADING 
4452 CAN'T REACH TARGET HEADING 
4457 CAN'T REACH TARGET HEADING 
4522 CAN'T REACH TARGET HEADING 
4527 CAN'T REACH TARGET HEADING 
4532 CAN'T REACH TARGET HEADING 
4537 CAN'T REACH TARGET HEADING 
4542 CAN'T REACH TARGET HEADING 
4548 CAN'T REACH TARGET HEADING 
4553 CAN'T REACH TARGET HEADING 
4558 CAN'T REACH TARGET HEADING 
4563 CAN'T REACH TARGET HEADING 
4568 CAN'T REACH TARGET HEADING 
4573 CAN'T REACH TARGET HEADING 
5149 CAN'T REACH TARGET HEADING 
5154 CAN'T REACH TARGET HEADING 
5159 CAN'T REACH TARGET HEADING 
5164 CAN'T REACH TARGET HEADING 
5169 CAN'T REACH TARGET HEADING 
5174 CAN'T REACH TARGET HEADING 
5179 CAN'T REACH TARGET HEADING 
5184 CAN'T REACH TARGET HEADING 
5190 CAN'T REACH TARGET HEADING 
5730 CAN'T REACH TARGET HEADING 
5735 CAN'T REACH TARGET HEADING 
5740 CAN'T REACH TARGET HEADING 
5745 CAN'T REACH TARGET HEADING 
5750 CAN'T REACH TARGET HEADING 
5755 CAN'T REACH TARGET HEADING 
5761 CAN'T REACH TARGET HEADING 
5766 CAN'T REACH TARGET HEADING 
5771 CAN'T REACH TARGET HEADING 
5776 CAN'T REACH TARGET HEADING 
5781 CAN'T REACH TARGET HEADING 
5786 CAN'T REACH TARGET HEADING 
5791 CAN'T REACH TARGET HEADING 
5796 CAN'T REACH TARGET HEADING 
5801 CAN'T REACH TARGET HEADING 
5806 CAN'T REACH TARGET HEADING 
5811 CAN'T REACH TARGET HEADING 
5816 CAN'T REACH TARGET HEADING 
5821 CAN'T REACH TARGET HEADING 
5826 CAN'T REACH TARGET HEADING 
5832 CAN'T REACH TARGET HEADING 
5837 CAN'T REACH TARGET HEADING 
6129 CAN'T REACH TARGET HEADING 
6134 CAN'T REACH TARGET HEADING 
6140 CAN'T REACH TARGET HEADING 
6142 LOW SONAR CONFIDENCE 
6145 CAN'T REACH TARGET HEADING 
6148 LOW SONAR CONFIDENCE 
6153 LOW SONAR CONFIDENCE 
6159 LOW SONAR CONFIDENCE 
6165 LOW SONAR CONFIDENCE 
6170 LOW SONAR CONFIDENCE 
6175 LOW SONAR CONFIDENCE 
6181 LOW SONAR CONFIDENCE 
6188 LOW SONAR CONFIDENCE 
6193 LOW SONAR CONFIDENCE 
6198 LOW SONAR CONFIDENCE 
6203 LOW SONAR CONFIDENCE
